,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fig 5.3. Flow around a flat sheet with viscosity. (a) The flow underneath and above the sheet is forced to curve. (b)  Pressure distribution along the dotted line (ABC), showing high pressure under the sheet and low pressure above the sheet, which generates more lift.",https://app.diagrams.net/#G1YqnCAaoJet87My_e2eurXgPpBuLSjyfF#%7B%22pageId%22%3A%22ICn0UDM_f_5boG7QXmOl%22%7D,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 5.4.  Potential flow round a sheet. Lift and drag are zero. OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM,From original manuscript,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 5.5.  Flow round a rotating cylinder.  OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM,https://app.diagrams.net/#G1WyUf22MyCB184v48mDq8PTmlGqiPMHYX#%7B%22pageId%22%3A%22Rpy4IGoToUZMn5Qh6NaH%22%7D,Flow lines copied from original manuscript then edited in draw.io. Looks like image has been squished a little when pasted into the word doc,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 5.6. The flow around an airfoil with zero circulation (a), overview of the flow. (b) Close-up of the trailing edge noting that the flow is unrealistic. (c) Velocity around the airfoil’s surface from A to D and back to A.OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM",https://app.diagrams.net/#G1WyUf22MyCB184v48mDq8PTmlGqiPMHYX#%7B%22pageId%22%3A%2261kWhG2wL8FblHH8jYd_%22%7D,"(a) Flow lines copied from original manuscript then edited in draw.io.
(b) From original manuscript (no editing)
(c) From original manuscript and edited",,,,,,,,,,,,,,,,,,,,,,
,"Fig. 5.7. The flow around an airfoil with circulation, c = 4.8 (a), overview of the flow. (b) Close-up of the trailing edge noting that the discontinuity has disappeared. (c) Velocity around the airfoil’s surface.  OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM",From original manuscript,,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 5.8. Flow around a wing with a flap with (a), c =0 and (b) c = 6.1. ",From original manuscript,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 5.9.  Streamlines in the ground effect.  OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM,From original manuscript,,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 5.10. A boat sailing into the wind. (a) a boat moving with velocity v against a wind with velocity w. (b) The velocity of the wind relative to the boat vw/b is obtained by vector subtraction. (c) the wind moving around the curved sail generates a force f normal to the sail with components fv in the direction of the boat velocity and fk, which is a force resisted by the keel.",https://app.diagrams.net/#G1YqnCAaoJet87My_e2eurXgPpBuLSjyfF#%7B%22pageId%22%3A%22pr__ETnyQD6F4qgkajoD%22%7D,,,,,,,,,,,,,,,,,,,,,,,
,"Fig 5.11. A boat sailing downwind faster than the wind (a) the boat moves with velocity v with a wind with velocity w. (b) The velocity of the wind relative to the boat vw/b is obtained by vector subtraction. (c) Even though the boat is moving faster than the wind, there is still a force in the direction of the boat.",https://app.diagrams.net/#G1YqnCAaoJet87My_e2eurXgPpBuLSjyfF#%7B%22pageId%22%3A%22QvaWAy3LSZKLNtKKVC61%22%7D,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 5.12. Potential flow round a sail.  OUP:  I DON'T KNOW WHERE THESE IMAGES COME FROM,From original manuscript,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapter 6 Wireless and the Thermionic Valve,,,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 6.1. The “wireless”, then and now!","https://www.theguardian.com/culture/2009/may/06/radio-head-zoe-williams
https://medium.com/@pslcricketmaza/where-to-place-wi-fi-router-for-best-internet-speed-9d784e5e3377",,,,,,,,,,,,,,,,,,,,,,,
,Fig. 6.2. Hertz’s Apparatus.   THIS SEEMS TO BE FROM WIKIP. ,"By Original version: DMGualtieriThis version: Chetvorno - From File:Hertz Transmitter Receiver.svg. Alterations to image: Changed labels to English, labeled individual parts, increased thickness of lines, cropped empty space, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=65941520","Not sure where this is from originally - text says from wikipedia, but seems to be labelled differently",,,,,,,,,,,,,,,,,,,,,,
,"Fig. 6.3. de Forest’s investigation of the use of flames as a detector¬. (a) a flame detector, (b) The flame is replaced by a heated gas in an envelop, (c) The final de Forest company version before it went out of business.  OUP:  These IMAGES  ARE FROM Here:  https://www.leedeforest.org/The_Audion.html",Hugh,We found better versions of what was in the original manuscript. Can you remember where - wasn't it in the patent?,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 6.4.  The triode valve. 
Photo: ScAvenger, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons
Line diagram - done by Diarmid - original lost",Hugh,Any ideas where these came from?,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 6.5. The basic triode valve. (a) Principal components, anode, heated cathode and wire mesh. (b) Analysis using image charges.",https://app.diagrams.net/#G1XYGli9YqsMxNVl5rNf65ndlRRsy6ZKhY#%7B%22pageId%22%3A%22ELj_jNek80J-wpMGB3Gp%22%7D,,,,,,,,,,,,,,,,,,,,,,,
,Figure 6.6.  A complete triode amplifier,https://app.diagrams.net/#G1XYGli9YqsMxNVl5rNf65ndlRRsy6ZKhY#%7B%22pageId%22%3A%22LWX9w-D-xO3F7NesCweH%22%7D,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapter 7 Basic Physics: From Quantum Mechanics to the Price of Petrol,,,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 7.1. Schrodinger’s cat: Simultaneously dead and alive!  
https://www.popularmechanics.com/science/a43699474/scientists-created-the-fattest-schrodingers-cat-ever/
Underground source unknown",Hugh,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 7.2. The structure of an alkali metal.,https://app.diagrams.net/#G1GgC3uc3co9H6ZGdKgnLLcDB3tCWoYdup#%7B%22pageId%22%3A%22d64orb86M8tQRRgfwIX8%22%7D,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 7.3. log vapour pressure plotted against 1/T.,https://www.chegg.com/homework-help/questions-and-answers/4-following-plot-shows-vapor-pressure-selected-elements-function-temperature--elements-lis-q45173902,Possible copyright issue,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 7.4. Electrons moving around an atom exhibit a characteristic wave function. (a) For a single atom, this is a sinewave whose half wavelength is the diameter of the orbit.  (b) For a molecule or metallic bond, the electrons have access to a wider volume hence the wavelength is longer.",https://app.diagrams.net/#G1IrvwxxEXRW2Dpelv4pDMEwyvXwtNWEaC#%7B%22pageId%22%3A%22sCpQMTJaOnvjbwWYdrc9%22%7D,two tabs,,,,,,,,,,,,,,,,,,,,,,
,Fig. 7.5. The lowest three oscillation modes (energy levels) for a 2D membrane (drum skin),https://www.researchgate.net/figure/Greatly-exaggerated-mode-shapes-for-a-circular-membrane-with-radius-a-The-top-row_fig3_346002108,Attribution I think available on site but I couldn't find it,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapter 8 How many satellites are needed for a GPS fix?,,,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 8.1. A Garmin GPS38, purchased in 1996.  I wonder if it still works?   HUGH HAS ONE, CAN TAKE A PHOTO OF IT",http://retro-gps.info/files/garmin-gps-38.jpg,Possible copyright issue,,,,,,,,,,,,,,,,,,,,,,
,"Fig. 8.2.  Two satellites A and B. Circles are shown on the surface of the Earth, the perimeters of which have equal signal arrival times from each of the satellites.","png create by diarmid using - 
https://en.wikipedia.org/wiki/The_Blue_Marble#/media/File:The_Earth_seen_from_Apollo_17.jpg
By NASA/Apollo 17 crew; taken by either Harrison Schmitt or Ron Evans - https://web.archive.org/web/20160112123725/http://grin.hq.nasa.gov/ABSTRACTS/GPN-2000-001138.html (image link); see also https://www.nasa.gov/multimedia/imagegallery/image_feature_329.html, Public Domain, https://commons.wikimedia.org/w/index.php?curid=43894484","I made this in gimp using some images fo earth and satelites, but I don't have the original gimp file and not sure where i got the source images from (sorry)",,,,,,,,,,,,,,,,,,,,,,
,"Fig. 8.3.  The projection of the circles from satellites A (orange) and B (blue) at two times T1 (solid) and T2 (dashed).  The signal at T1 alone fixes the receiver at either R1 or R1’. An additional satellite fix is required to remove the ambiguity. Alternatively, the signal at T2 can be used provided that the receiver is known not to have moved any appreciable distance. In choosing between R2 and R2’, R2 makes better sense.",https://app.diagrams.net/#G1Ej_PSCLat-G5cNAQ9t-mfyGdUEH2o-wZ#%7B%22pageId%22%3A%22w3KSZwB7cWVtr6wwcuZ4%22%7D,,,,,,,,,,,,,,,,,,,,,,,
,Fig. 8.4.  A solution on a plane for three satellites.  The three solid circles show constant arrival times for three satellites.  Two solutions are possible.,From original manuscript,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapter 9 Not the Bernoulli Effect. ,,,,,,,,,,,,,,,,,,,,,,,,
,Figure 9.1. Barnes Wallis and his Dambusters  OUP:  THE LEFT IMAGE IS FROM DAMBUSTERS: BUILDING THE BOUNCING BOMB 2 MAY 2011 CHANNEL 4 https://www3.eng.cam.ac.uk/~hemh1/tv.htm#DAMBUSTERS   THE RIGHT IMAGE IS FROM WIKI https://en.wikipedia.org/wiki/M%C3%B6hne_Reservoir#/media/File:Mohne_Dam_Breached.jpg,"2nd image:
Flying Officer Jerry Fray RAF, Public domain, via Wikimedia Commons",,,,,,,,,,,,,,,,,,,,,,,
,Figure 9.2. The pressure gradient in curved streamlines,https://app.diagrams.net/#G1VUQu2oPaeQoDuht1FZAogDb9ctaaq1FW#%7B%22pageId%22%3A%22e-ILFgQkDBfI6TThxJnb%22%7D,Same diagram from two tides (3.6),,,,,,,,,,,,,,,,,,,,,,
,"Figure 9.3. There is no pressure drop across parallel streamlines. (a) the pressure in the side passage at B is the same as the flow pressure at A. (b) the pressure at the exit of a tube at B is the same as the pressure inside the tube at A and also the same as the outside pressure at C. (c) Where flow comes to rest we have a “stagnation point” S where the where the stagnation pressure ps = po + ½ρv2,where v is the flow velocity.",https://app.diagrams.net/#G13jrocv6dOBLWD-aEyBDr9S9soAqG50pH#%7B%22pageId%22%3A%22UX7MtHOh1q4XvfowS_aW%22%7D,,,,,,,,,,,,,,,,,,,,,,,
,Figure 9.4. Streamlines around a cylinder. (a) The arrows show the direction of the pressure gradient due to centrifugal force. (b) The gauge pressure around the cylinder; red is positive blue is negative.   OUP:  NOT SURE WHERE THESE IMAGES ARE FROM,From original manuscript,With added arrows,,,,,,,,,,,,,,,,,,,,,,
,Figure 9.5. (a) A diagram of pitot-static tube and (b) a pitot-static tube under an aircraft wing.,"https://app.diagrams.net/#G13jrocv6dOBLWD-aEyBDr9S9soAqG50pH#%7B%22pageId%22%3A%223gk5x25-aAQB0QT0N7nI%22%7D
https://studentpilotguide.co.uk/what-is-a-pitot/",Link to photo seems to not work anymore and may have copyright issues,,,,,,,,,,,,,,,,,,,,,,
,"Figure 9.6. The Coanda effect blowing over a sheet of paper. (a) For flow in a straight line the pressures at A and B are the same. Flow over a curved surface will entrain stationary air from below creating curved streamlines. As we saw in Figure 2, this result in a region of low pressure which pulls the flow downwards. (b) the resulting flow follows the surface. With curved streamlines, the pressure at A is lower than at B, causing lift.",https://app.diagrams.net/#G13jrocv6dOBLWD-aEyBDr9S9soAqG50pH#%7B%22pageId%22%3A%22eYpCGHeRll3S6vu-rZSL%22%7D,,,,,,,,,,,,,,,,,,,,,,,
,Figure 9.7. Examples of the Coanda effect. (a) a ping-pong ball levitated using a hairdryer (b) a representation of the flow showing the curved streamlines with the centre line of the original flow shown dashed. (c) Water being curved by a spoon. (d) The same effect is responsible for dribbly teapots.,"https://app.diagrams.net/#G13jrocv6dOBLWD-aEyBDr9S9soAqG50pH#%7B%22pageId%22%3A%22d4WQ83AO8dSJoTxHESRA%22%7D
https://arxiv.org/PS_cache/arxiv/pdf/0910/0910.3306v1.pdf",Teapot may have copyrigt issues. Spoon is from Hugh - i think!,,,,,,,,,,,,,,,,,,,,,,
,Figure 9.8.  A steam injector,https://en.wikipedia.org/wiki/Injector,Possible copyright issue,"Done - Public Domain. Robert Routledge, Discoveries and Inventions of the 19th Century, 1890s",,,,,,,,,,,,,,,,,,,,,
